J,err[J],,,,
0.007608838,0.000019,,,,
Ar39Ar36,errAr39Ar36,Ar40Ar36,errAr40Ar36,rho,Ar39
20.37767,0.10863816,404.6732,2.092858,0.9593814,0.0416012
26.46267,0.08312922,419.1062,1.248872,0.923293,0.0944759
52.93697,0.15734247,543.6703,1.613853,0.9394358,0.2820416
83.09765,0.57839869,672.052,4.638486,0.9894499,0.1848611
194.28512,0.75988506,1189.6406,4.613698,0.9764073,0.2702872
203.3006,0.88895174,1222.0457,5.346357,0.9915557,0.7072563
250.15197,0.89357971,1442.4395,5.13916,0.9916286,0.7188705
219.29834,1.52314302,1298.9712,9.010322,0.9957087,0.4792595
219.41471,1.45743969,1305.1934,8.688002,0.9966507,0.5001037
183.26035,0.55666518,1137.3718,3.428078,0.9561368,0.6326591
116.66454,0.51691077,837.4648,3.661033,0.9797988,0.4050682
