U238Pb206,seU238Pb206,Pb207Pb206,sePb207Pb206,Pb208Pb206,sePb208Pb206,Th232U238,seTh232U238,rWX,rWY,rWZ,rXY,rXZ,rYZ
305.9,2.4,0.0682,0.00087,3.198,0.076,10.35,0.21,0,0,0,0,0,0
318.5,2.6,0.0701,0.00084,3.042,0.073,9.77,0.2,0,0,0,0,0,0
314.2,2.5,0.0689,0.00087,3.077,0.073,9.87,0.2,0,0,0,0,0,0
247.3,2.5,0.1066,0.00128,2.946,0.074,9.71,0.19,0,0,0,0,0,0
299.1,2.7,0.0733,0.00123,2.947,0.072,9.45,0.19,0,0,0,0,0,0
346.9,2.9,0.0677,0.00095,2.856,0.071,9.16,0.18,0,0,0,0,0,0
325,2.8,0.0676,0.00091,2.916,0.071,9.48,0.19,0,0,0,0,0,0
319.4,2.5,0.0705,0.00096,2.897,0.069,9.23,0.18,0,0,0,0,0,0
315.1,2.2,0.0646,0.00077,2.897,0.067,9.33,0.19,0,0,0,0,0,0
287.5,2.9,0.0741,0.00093,2.914,0.074,9.35,0.19,0,0,0,0,0,0
