Lu,err,Hf,err,Hf176Hf177,err
0.45,0.00225,36.9,0.1845,0.282274,0.0000035
0.05,0.00025,1.35,0.00675,0.282311,0.000003
0.28,0.0014,3.56,0.0178,0.28242,0.0000035
0.34,0.0017,1.1,0.0055,0.283008,0.000002
5.22,0.0261,0.28,0.0014,0.329998,0.0000045
5.13,0.02565,0.52,0.0026,0.307579,0.000011
0.93,0.00465,34.9,0.1745,0.282229,0.0000045
0.03,0.00015,0.46,0.0023,0.282361,0.0000035
0.34,0.0017,3.11,0.01555,0.282511,0.0000055
0.95,0.00475,6.2,0.031,0.282647,0.0000055
0.47,0.00235,0.17,0.00085,0.29132,0.0000135
9.52,0.0476,0.29,0.00145,0.395491,0.0000135
9.02,0.0451,1.13,0.00565,0.30908,0.000006
