Rb[ppm],errRb[ppm],Sr[ppm],errSr[ppm],Sr87Sr86,errSr87Sr86
1.03,0.025,95.6,0.1,0.70127,0.00010
2.15,0.025,116.0,0.15,0.70243,0.00010
0.94,0.03,86.1,0.15,0.70114,0.00010
1.033,0.025,91.4,0.1,0.70112,0.00010
1.15,0.01,122.9,1.2,0.70090,0.00010
0.77,0.01,149.9,1.5,0.70011,0.00010
0.826,0.025,100.4,0.2,0.70073,0.00010
0.475,0.025,185.8,0.15,0.69972,0.00010
0.49,0.03,80.6,0.1,0.70047,0.00010
1.22,0.025,113.7,0.1,0.70123,0.00010
1.02,0.025,147.9,0.1,0.70048,0.00010
1.00,0.03,134.8,0.15,0.70056,0.00010
1.21,0.05,114.2,0.2,0.70102,0.00010
1.13,0.025,96.0,0.15,0.70133,0.00010
10.10,0.045,171.5,0.15,0.71008,0.00010
6.36,0.03,142.8,0.2,0.70771,0.00010
6.33,0.03,143.3,0.1,0.70753,0.00010

