U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,Pb204Pb206,errPb204Pb206
12130,121.3,0.15345,0.00015345,0.007029,0.00007029
11950,119.5,0.19473,0.00019473,0.009810,0.00009810
9190,91.9,0.13744,0.00013744,0.006075,0.00006075
26780,267.8,0.29240,0.00029240,0.016280,0.00016280
19110,191.1,0.22530,0.00022530,0.011840,0.00011840
31810,318.1,0.08746,0.00008746,0.002296,0.00002296
29720,297.2,0.08100,0.00008100,0.001835,0.00001835
29320,293.2,0.24790,0.00024790,0.013130,0.00013130
24440,244.4,0.07712,0.00007712,0.001650,0.00001650
28480,284.8,0.14912,0.00014912,0.006470,0.00006470
